Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1943,16,Music (Song),1,Music by Harry Warren; Lyrics by Mack Gordon,"""You'll Never Know""","Hello, Frisco, Hello",
1943,16,Irving G. Thalberg Memorial Award,1,Hal B. Wallis,,NA,NA
1943,16,Special Award,1,George Pal,,NA,NA
1943,16,Art Direction (Color),1,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb",,Phantom of the Opera,
1943,16,Cinematography (Color),1,"Hal Mohr, W. Howard Greene",,Phantom of the Opera,
1943,16,Writing (Original Screenplay),1,Norman Krasna,,Princess O'Rourke,
1943,16,Writing (Original Motion Picture Story),1,William Saroyan,,The Human Comedy,
1943,16,Actor in a Supporting Role,1,Charles Coburn,,The More the Merrier,
1943,16,Actress,1,Jennifer Jones,,The Song of Bernadette,
1943,16,Art Direction (Black and White),1,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little",,The Song of Bernadette,
1943,16,Cinematography (Black and White),1,Arthur Miller,,The Song of Bernadette,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),1,Alfred Newman,,The Song of Bernadette,
1943,16,Music (Scoring of a Musical Picture),1,Ray Heindorf,,This Is the Army,
1943,16,Sound Recording,1,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",,This Land Is Mine,
1943,16,Actor,1,Paul Lukas,,Watch on the Rhine,
1943,16,Short Subject (Cartoon),1,"Frederick Quimby, Producer",,Yankee Doodle Mouse,
1944,17,Music (Scoring of a Musical Picture),1,"Morris Stoloff, Carmen Dragon",,Cover Girl,
1944,17,Actress,1,Ingrid Bergman,,Gaslight,
1944,17,Art Direction (Black and White),1,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky",,Gaslight,
1944,17,Actor,1,Bing Crosby,,Going My Way,tt0036872
1944,17,Actor in a Supporting Role,1,Barry Fitzgerald,,Going My Way,tt0036872
1944,17,Best Motion Picture,1,Paramount,,Going My Way,tt0036872
1944,17,Directing,1,Leo McCarey,,Going My Way,tt0036872
1944,17,Music (Song),1,Music by James Van Heusen; Lyrics by Johnny Burke,"""Swinging On A Star""",Going My Way,tt0036872
1944,17,Writing (Original Motion Picture Story),1,Leo McCarey,,Going My Way,tt0036872
1944,17,Writing (Screenplay),1,"Frank Butler, Frank Cavett",,Going My Way,tt0036872
1944,17,Short Subject (Two Reel),1,"Gordon Hollingshead, Producer",,I Won't Play,
1944,17,Cinematography (Black and White),1,Joseph LaShelle,,Laura,
1944,17,Short Subject (Cartoon),1,"Frederick C. Quimby, Producer",,Mouse Trouble,
1944,17,Irving G. Thalberg Memorial Award,1,Darryl F. Zanuck,,NA,NA
1944,17,Special Award,1,Margaret O'Brien,,NA,NA
1944,17,Special Award,1,Bob Hope,,NA,NA
