"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName"
"Best Director","Winner","Bad Girl","05-1932","tt0021635","Bad Girl","nm0097648","Frank Borzage",NA,NA
"Best Director",NA,"Shanghai Express","05-1932","tt0023458","Shanghai Express","nm0903049","Josef von Sternberg",NA,NA
"Best Director",NA,"The Champ","05-1932","tt0021730","The Champ","nm0896542","King Vidor",NA,NA
"Best Picture","Winner",NA,"05-1932","tt0022958","Grand Hotel",NA,NA,NA,NA
"Best Picture",NA,NA,"05-1932","tt0021622","Arrowsmith",NA,NA,NA,NA
"Best Picture",NA,NA,"05-1932","tt0021635","Bad Girl",NA,NA,NA,NA
"Best Picture",NA,NA,"05-1932","tt0021873","Five Star Final",NA,NA,NA,NA
"Best Picture",NA,NA,"05-1932","tt0023303","One Hour with You",NA,NA,NA,NA
"Best Picture",NA,NA,"05-1932","tt0023458","Shanghai Express",NA,NA,NA,NA
"Best Picture",NA,NA,"05-1932","tt0021730","The Champ",NA,NA,NA,NA
"Best Picture",NA,NA,"05-1932","tt0022074","The Smiling Lieutenant",NA,NA,NA,NA
"Best Short Subject, Cartoons","Winner","Walt Disney","05-1932","tt0022899","Flowers and Trees","nm0000370","Walt Disney",NA,NA
"Best Short Subject, Cartoons",NA,"Leon Schlesinger","05-1932","tt0023067","It's Got Me Again!","nm0772266","Leon Schlesinger",NA,NA
"Best Short Subject, Cartoons",NA,"Walt Disney","05-1932","tt0022147","Mickey's Orphans","nm0000370","Walt Disney",NA,NA
"Best Short Subject, Comedy","Winner","Hal Roach","05-1932","tt0023251","The Music Box","nm0730018","Hal Roach",NA,NA
"Best Short Subject, Comedy",NA,NA,"05-1932","tt0276472","Scratch-As-Catch-Can",NA,NA,NA,NA
"Best Short Subject, Comedy",NA,NA,"05-1932","tt0023517","Stout Hearts and Willing Hands",NA,NA,NA,NA
"Best Short Subject, Comedy",NA,"Mack Sennett","05-1932","tt0023152","The Loud Mouth","nm0784407","Mack Sennett",NA,NA
"Best Short Subject, Novelty","Winner","Mack Sennett","05-1932","tt0023711","Wrestling Swordfish","nm0784407","Mack Sennett",NA,NA
"Best Short Subject, Novelty",NA,NA,"05-1932","tt0023441","Screen Souvenirs",NA,NA,NA,NA
"Best Short Subject, Novelty",NA,NA,"05-1932","tt0152771","Swing High",NA,NA,NA,NA
