"AwardCategory","AwardWinner","PrimaryTitle","PrimaryID","SecondaryName.list","AwardCeremony","SecondaryID","SecondaryName","AwardCategory.y"
"Best Art Direction",NA,"The Awakening","title/tt0018666","William Cameron Menzies","02-1930","name/nm0580017","William Cameron Menzies","Best Art Direction"
"Best Art Direction",NA,"The Patriot","title/tt0019257","Hans Dreier","02-1930","name/nm0237417","Hans Dreier","Best Art Direction"
"Best Cinematography","Winner","White Shadows in the South Seas","title/tt0019574","Clyde De Vinna","02-1930","name/nm0005682","Clyde De Vinna","Best Cinematography"
"Best Cinematography",NA,"4 Devils","title/tt0018907","Ernest Palmer","02-1930","name/nm0005823","Ernest Palmer","Best Cinematography"
"Best Cinematography",NA,"4 Devils","title/tt0018907","Ernest Palmer","02-1930","name/nm0005823","Ernest Palmer","Best Cinematography"
"Best Cinematography",NA,"In Old Arizona","title/tt0020018","Arthur Edeson","02-1930","name/nm0249186","Arthur Edeson","Best Cinematography"
"Best Cinematography",NA,"Our Dancing Daughters","title/tt0019237","George Barnes","02-1930","name/nm0055604","George Barnes","Best Cinematography"
"Best Cinematography",NA,"Street Angel","title/tt0019429","Ernest Palmer","02-1930","name/nm0005823","Ernest Palmer","Best Cinematography"
"Best Cinematography",NA,"Street Angel","title/tt0019429","Ernest Palmer","02-1930","name/nm0005823","Ernest Palmer","Best Cinematography"
"Best Cinematography",NA,"The Divine Lady","title/tt0019824","John F. Seitz","02-1930","name/nm0005870","John F. Seitz","Best Cinematography"
"Best Director","Winner","Frank Lloyd","name/nm0515979","The Divine Lady","02-1930","title/tt0019824","The Divine Lady","Best Director"
"Best Director",NA,"Ernst Lubitsch","name/nm0523932","The Patriot","02-1930","title/tt0019257","The Patriot","Best Director"
"Best Director",NA,"Frank Lloyd","name/nm0515979","Drag","02-1930","title/tt0019833","Drag","Best Director"
"Best Director",NA,"Frank Lloyd","name/nm0515979","Weary River","02-1930","title/tt0019557","Weary River","Best Director"
"Best Director",NA,"Harry Beaumont","name/nm0064600","The Broadway Melody","02-1930","title/tt0019729","The Broadway Melody","Best Director"
"Best Director",NA,"Irving Cummings","name/nm0191899","In Old Arizona","02-1930","title/tt0020018","In Old Arizona","Best Director"
"Best Director",NA,"Lionel Barrymore","name/nm0000859","Madame X","02-1930","title/tt0020126","Madame X","Best Director"
"Best Picture","Winner","The Broadway Melody","title/tt0019729","","02-1930",NA,NA,NA
"Best Picture",NA,"Alibi","title/tt0019630","","02-1930",NA,NA,NA
"Best Picture",NA,"In Old Arizona","title/tt0020018","","02-1930",NA,NA,NA
"Best Picture",NA,"The Hollywood Revue of 1929","title/tt0019993","","02-1930",NA,NA,NA
"Best Picture",NA,"The Patriot","title/tt0019257","","02-1930",NA,NA,NA
"Best Writing, Achievement","Winner","The Patriot","title/tt0019257","Hanns KrÃ¤ly","02-1930","name/nm0473134","Hanns KrÃ¤ly","Best Writing, Achievement"
"Best Writing, Achievement","Winner","The Patriot","title/tt0019257","Hanns KrÃ¤ly","02-1930","name/nm0473134","Hanns KrÃ¤ly","Best Writing, Achievement"
"Best Writing, Achievement",NA,"A Woman of Affairs","title/tt0019591","Bess Meredyth","02-1930","name/nm0580648","Bess Meredyth","Best Writing, Achievement"
"Best Writing, Achievement",NA,"A Woman of Affairs","title/tt0019591","Bess Meredyth","02-1930","name/nm0580648","Bess Meredyth","Best Writing, Achievement"
"Best Writing, Achievement",NA,"In Old Arizona","title/tt0020018","Tom Barry","02-1930","name/nm0058179","Tom Barry","Best Writing, Achievement"
"Best Writing, Achievement",NA,"In Old Arizona","title/tt0020018","Tom Barry","02-1930","name/nm0058179","Tom Barry","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Our Dancing Daughters","title/tt0019237","Josephine Lovett","02-1930","name/nm0522674","Josephine Lovett","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Sal of Singapore","title/tt0019348","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Sal of Singapore","title/tt0019348","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Sal of Singapore","title/tt0019348","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Sal of Singapore","title/tt0019348","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Skyscraper","title/tt0019398","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
"Best Writing, Achievement",NA,"Skyscraper","title/tt0019398","Elliott J. Clawson","02-1930","name/nm0165470","Elliott J. Clawson","Best Writing, Achievement"
