"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"Mayerling","tt0027951","1936","96 min"
"McCabe & Mrs. Miller","tt0067411","1971","120 min"
"Mean Streets","tt0070379","1973","112 min"
"Meet Me in St. Louis","tt0037059","1944","113 min"
"Melvin and Howard","tt0081150","1980","95 min"
"Memories of Underdevelopment","tt0063291","1968","97 min"
"The Memory of Justice","tt0074891","1976","278 min"
"The Men","tt0042727","1950","85 min"
"Ménage","tt0092068","1986","84 min"
"Metropolitan","tt0100142","1990","98 min"
"Midnight","tt0031647","1939","94 min"
"Midnight Cowboy","tt0064665","1969","113 min"
"Minnie and Moskowitz","tt0067433","1971","114 min"
"The Miracle of Morgan's Creek","tt0037077","1944","98 min"
"Miracle on 34th Street","tt0039628","1947","96 min"
"The Miracle Worker","tt0056241","1962","106 min"
"Les Misérables","tt0026725","1935","108 min"
"The Misfits","tt0055184","1961","125 min"
"Missing","tt0084335","1982","122 min"
"Mr. & Mrs. Bridge","tt0100200","1990","126 min"
"Mr. Deeds Goes to Town","tt0027996","1936","115 min"
"Monsieur Hulot's Holiday","tt0046487","1953","83 min"
"Mister Roberts","tt0048380","1955","123 min"
"Mr. Smith Goes to Washington","tt0031679","1939","129 min"
"Mrs. Miniver","tt0035093","1942","134 min"
"My American Uncle","tt0081176","1980","125 min"
"Mona Lisa","tt0091538","1986","104 min"
"Monsieur Verdoux","tt0039631","1947","124 min"
"Monsters, Inc.","tt0198781","2001","92 min"
"Moonlighting","tt0084354","1982","97 min"
"Moonstruck","tt0093565","1987","102 min"
"The More the Merrier","tt0036172","1943","104 min"
"Morgan!","tt0060714","1966","97 min"
"The Mortal Storm","tt0032811","1940","100 min"
"Mother","tt0117091","1996","104 min"
"Moulin Rouge","tt0044926","1952","119 min"
"The Mouthpiece","tt0023240","1932","86 min"
"Much Ado About Nothing","tt0107616","1993","111 min"
"Mulholland Drive","tt0166924","2001","147 min"
"Murmur of the Heart","tt0067778","1971","118 min"
"Mutiny on the Bounty","tt0026752","1935","132 min"
"My Beautiful Laundrette","tt0091578","1985","97 min"
"My Darling Clementine","tt0038762","1946","97 min"
"My Dinner with Andre","tt0082783","1981","110 min"
"My Fair Lady","tt0058385","1964","170 min"
"My Left Foot","tt0097937","1989","103 min"
"My Life as a Dog","tt0089606","1985","101 min"
